path,folder,namefull,mouse,session,nTrial,mvtDir,actType,stimType,sessionNum,group,Area,MajorAxisLength,MinorAxisLength,Orientation,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,WeightedArea,ComponentId,FrameId,FrameTime,FramePeak
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,35,0.7,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,36,0.75,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,37,0.8,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,38,0.85,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,39,0.9,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,40,0.95,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,41,1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,42,1.05,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,43,1.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,44,1.15,0
